Sl. No.,Timestamp,Labels,I_w_BLO_Weg,O_w_BLO_power,O_w_BLO_voltage,I_w_BHL_Weg,O_w_BHL_power,O_w_BHL_voltage,I_w_BHR_Weg,O_w_BHR_power,O_w_BHR_voltage,I_w_BRU_Weg,O_w_BRU_power,O_w_BRU_voltage,I_w_HR_Weg,O_w_HR_power,O_w_HR_voltage,I_w_HL_Weg,O_w_HL_power,O_w_HL_voltage,Training
1724,8.025001526,0,-101,3888,23,-212,19150,50,782,4,0,565,0,0,-833,10366,26,-833,21114,29,0
1725,8.083000183,0,-101,3888,23,-212,19150,50,782,4,0,565,0,0,-833,10366,26,-833,21114,29,1
1726,8.142997742,0,-101,3888,23,-212,19150,50,782,4,0,565,0,0,-833,10366,26,-833,21114,29,1
1727,8.187995911,0,-106,0,1,-281,20332,52,782,0,1,565,0,0,-833,10574,26,-833,23869,29,1
1728,8.242996216,0,-106,0,1,-281,20332,52,782,0,1,565,0,0,-833,10574,26,-833,23869,29,1
1729,8.34400177,0,-106,0,1,-281,20332,52,782,0,1,565,0,0,-833,10574,26,-833,23869,29,1
1730,8.388000488,0,-106,0,1,-281,20332,52,782,0,1,565,0,0,-833,10574,26,-833,23869,29,0
1731,8.446998596,0,-106,0,1,-399,11976,94,-64,6943,93,565,0,0,-806,2527,39,-806,7576,39,1
1732,8.490997314,0,-106,0,1,-399,11976,94,-64,6943,93,565,0,0,-806,2527,39,-806,7576,39,1
1733,8.548995972,0,-106,0,1,-399,11976,94,-64,6943,93,565,0,0,-806,2527,39,-806,7576,39,1
1734,8.652000427,0,-106,0,0,-537,16206,93,-202,5482,90,565,0,0,-719,7922,106,-717,26234,105,1
1735,8.7029953,0,-106,0,0,-537,16206,93,-202,5482,90,565,0,0,-719,7922,106,-717,26234,105,1
1736,8.757995605,0,-106,0,0,-537,16206,93,-202,5482,90,565,0,0,-719,7922,106,-717,26234,105,1
1737,8.814994812,0,-106,0,0,-675,28677,79,-341,9352,90,565,0,0,-569,4376,170,-567,25446,169,1
1738,8.869995117,0,-106,0,0,-675,28677,79,-341,9352,90,565,0,0,-569,4376,170,-567,25446,169,1
1739,8.914001465,0,-106,0,0,-675,28677,79,-341,9352,90,565,0,0,-569,4376,170,-567,25446,169,1
1740,9.021995544,0,-106,0,0,-675,28677,79,-341,9352,90,565,0,0,-569,4376,170,-567,25446,169,1
1741,9.080001831,0,-106,0,0,-675,28677,79,-341,9352,90,565,0,0,-569,4376,170,-567,25446,169,1
1742,9.124000549,0,-106,0,0,-745,1624,14,-480,11314,94,565,0,0,-361,10728.7438,25.20661157,-358,26489,202,0
1743,9.179000854,1,-106,0,0,-745,1624,14,-480,11314,94,565,0,0,-361.0990849,10728.7438,25.20661157,-358,26489,202,0
1744,9.222999573,1,-106,0,0,-745,1624,14,-480,11314,94,565,0,0,-361.1783501,10728.7438,25.21884287,-358,26489,202,0
1745,9.333999634,1,-106,0,0,-747,0,0,-619,13889,98,565,57,0,-361.3783204,1012.743802,25.24970001,-179,17936,139,1
1746,9.375,1,-106,0,0,-747,0,0,-619,13889,98,565,57,0,-361.452184,1012.743802,25.26109779,-179,17936,139,1
1747,9.423995972,1,-106,0,0,-747,0,0,-619,13889,98,565,57,0,-361.5404519,1012.743802,25.27471828,-179,17936,139,1
1748,9.490997314,1,-106,0,0,-747,0,0,-751,12167,93,565,0,0,-361.661157,8026,25.29334412,-65,23960,69,1
1749,0,0,9,0,0,-546,13,1,-874,0,0,-29,1900,18,0,4854,26,0,3434,24,1
1750,0.062995911,0,9,0,0,-546,13,1,-874,0,0,-29,1900,18,0,4854,26,0,3434,24,1
1751,0.164993286,0,9,0,0,-546,13,1,-874,0,0,-29,1900,18,0,4854,26,0,3434,24,1
1752,0.208999634,0,9,0,0,-546,13,1,-874,0,0,-29,1900,18,0,4854,26,0,3434,24,1
1753,0.263999939,0,9,0,0,-546,0,1,-874,0,0,14,16882,46,0,5322,26,0,5008,24,1
1754,0.307998657,0,9,0,0,-546,0,1,-874,0,0,14,16882,46,0,5322,26,0,5008,24,1
1755,0.362998962,0,9,0,0,-546,0,1,-874,0,0,14,16882,46,0,5322,26,0,5008,24,0
1756,0.478996277,0,9,0,0,-546,0,1,-874,0,0,84,17150,47,0,2800,26,0,5008,24,1
1757,0.527999878,0,9,0,0,-546,0,1,-874,0,0,84,17150,47,0,2800,26,0,5008,24,1
1758,0.571998596,0,9,0,0,-546,0,1,-874,0,0,84,17150,47,0,2800,26,0,5008,24,1
1759,0.629997253,0,9,0,0,-546,0,1,-874,0,0,84,17150,47,0,2800,26,0,5008,24,1
1760,0.730995178,0,9,0,0,-546,0,1,-874,0,0,84,17150,47,0,2800,26,0,5008,24,0
1761,0.779998779,0,9,0,0,-546,18,0,-874,0,0,153,22389,51,0,5972,26,0,3434,24,1
1762,0.834999084,0,9,0,0,-546,18,0,-874,0,0,153,22389,51,0,5972,26,0,3434,24,0
1763,0.879997253,0,9,0,0,-546,18,0,-874,0,0,153,22389,51,0,5972,26,0,3434,24,1
1764,0.934997559,0,9,0,0,-546,0,1,-874,0,0,223,16262,49,0,6232,26,0,5440,23,0
1765,1.033996582,0,9,0,0,-546,0,1,-874,0,0,223,16262,49,0,6232,26,0,5440,23,1
1766,1.095993042,0,9,0,0,-546,0,1,-874,0,0,223,16262,49,0,6232,26,0,5440,23,1
1767,1.146995544,0,9,0,0,-546,24,1,-874,0,0,291,23598,54,0,6726,26,0,8624,23,1
1768,1.2029953,0,9,0,0,-546,24,1,-874,0,0,291,23598,54,0,6726,26,0,8624,23,0
1769,1.256996155,0,9,0,0,-546,24,1,-874,0,0,291,23598,54,0,6726,26,0,8624,23,1
1770,1.338996887,0,9,0,0,-546,24,1,4,11563,33,361,17750,50,0,6726,26,0,5440,24,0
1771,1.393997192,0,9,0,0,-546,24,1,4,11563,33,361,17750,50,0,6726,26,0,5440,24,1
1772,1.437995911,0,9,0,0,-546,24,1,4,11563,33,361,17750,50,0,6726,26,0,5440,24,1
1773,1.529998779,0,9,0,0,-546,27,1,72,12650,46,431,17248,49,0,8962,26,0,5440,24,1
1774,1.595993042,0,9,0,0,-546,27,1,72,12650,46,431,17248,49,0,8962,26,0,5440,24,1
1775,1.653999329,0,9,0,0,-546,27,1,72,12650,46,431,17248,49,0,8962,26,0,5440,24,1
1776,1.698997498,0,9,0,0,-546,27,1,72,12650,46,431,17248,49,0,8962,26,0,5440,24,1
1777,1.753997803,0,9,0,0,-546,27,1,72,12650,46,431,17248,49,0,8962,26,0,5440,24,1
1778,1.840995789,0,9,0,0,-546,30,1,72,12650,51,431,17248,49,0,11172,26,0,5440,24,1
1779,1.907997131,0,9,0,0,-546,30,1,140,16700,51,501,16905,49,0,11172,26,0,5440,24,1
1780,1.962997437,0,9,0,0,-546,30,1,140,16700,51,501,16905,49,0,11172,26,0,5440,24,0
1781,2.006996155,0,9,0,0,-546,30,1,140,16700,51,501,16905,49,0,11172,26,0,5440,24,0
1782,2.06199646,0,9,0,0,-546,30,1,210,21726,52,565,4350,25,0,14455,27,0,8624,24,1
1783,2.165992737,0,9,0,0,-546,30,1,210,21726,52,565,4350,25,0,14455,27,0,8624,24,1
1784,2.215995789,0,9,0,0,-546,30,1,210,21726,52,565,4350,25,0,14455,27,0,8624,24,1
1785,2.269996643,0,9,0,0,-546,30,1,280,14476,49,572,208,2,0,19548,29,0,8624,24,1
1786,2.330993652,0,9,0,0,-546,30,1,280,14476,49,572,208,2,0,19548,29,0,8624,24,1
1787,2.385993958,0,9,0,0,-546,30,1,280,14476,49,572,208,2,0,19548,29,0,8624,24,1
1788,2.433998108,0,9,0,0,-546,31,1,392,6976,89,572,180,2,-23,7424,95,-24,15904,90,1
1789,2.533996582,0,9,0,0,-546,31,1,392,6976,89,572,180,2,-23,7424,95,-24,15904,90,1
1790,2.594993591,0,9,0,0,-546,31,1,392,6976,89,572,180,2,-23,7424,95,-24,15904,90,1
1791,2.643997192,0,9,0,0,-546,34,1,530,15360,94,572,162,1,-110,3632,164,-111,5908,165,0
1792,2.687995911,0,9,0,0,-546,34,1,530,15360,94,572,162,1,-110,3632,164,-111,5908,165,0
1793,2.743995667,0,9,0,0,-546,34,1,530,15360,94,572,162,1,-110,3632,164,-111,5908,165,0
1794,2.851997375,0,9,0,0,0,2184,14,670,11694,92,572,57,1,-259,17076,236,-261,2632,221,1
1795,2.898994446,0,9,0,0,0,2184,14,670,11694,92,572,57,1,-259,17076,236,-261,2632,221,0
1796,2.946998596,0,9,0,0,0,2184,14,670,11694,92,572,57,1,-259,17076,236,-261,2632,221,0
1797,3.018997192,0,9,0,0,0,2184,14,670,11694,92,572,57,1,-259,17076,236,-261,2632,221,0
1798,3.063995361,0,9,0,0,0,2184,14,670,11694,92,572,57,1,-259,17076,236,-261,2632,221,0
1799,3.114997864,0,9,0,0,100,20812,97,771,7689,33,572,41,1,-465,20543,251,-468,18349,254,1
1800,3.175994873,0,9,0,0,100,20812,97,771,7689,33,572,41,1,-465,20543,251,-467.5869126,18349,254,0
1801,3.275993347,1,9,0,0,100,20812,97,771,7689,33,572,41,1,-465,20543,251,-466.9096973,18349,254,1
1802,3.319999695,1,9,0,0,240,13022,94,782,70,1,572,27,1,-647,6924,188,-466.611675,7888,27.34917355,1
1803,3.377998352,1,9,0,0,240,13022,94,782,70,1,572,27,1,-647,6924,188,-466.2188932,7888,27.34917355,1
1804,3.444999695,1,9,0,0,240,13022,94,782,70,1,572,27,1,-647,6924,188,-465.7651429,7888,27.45149313,0
1805,3.5,1,9,0,0,240,13022,94,782,70,1,572,27,1,-647,6924,188,-465.3926667,7888,27.53548559,1
1806,3.554992676,1,9,0,0,371,15732,98,782,122,1,572,0,0,-762,32636,128,-465.0202422,7918.289256,27.6194664,0
1807,3.598999023,1,9,0,0,371,15732,98,782,122,1,572,0,0,-762,32636,128,-464.7222199,7918.289256,27.68666969,1
1808,3.654998779,1,9,0,0,371,15732,98,782,122,1,572,0,0,-762,32636,128,-464.3429752,7918.289256,27.77218844,1
1809,0,0,9,0,0,-547,0,0,-875,0,0,-19,11220,43,0,2392,24,0,5008,24,1
1810,0.043998718,0,9,0,0,-547,0,0,-875,0,0,-19,11220,43,0,2392,24,0,5008,24,1
1811,0.098999023,0,9,0,0,-547,0,0,-875,0,0,-19,11220,43,0,2392,24,0,5008,24,1
1812,0.154998779,0,9,0,0,-547,0,0,-875,0,0,0,20300,51,0,2392,26,0,5008,24,1
1813,0.244003296,0,9,0,0,-547,0,0,-875,0,0,0,20300,51,0,2392,26,0,5008,24,1
1814,0.304000854,0,9,0,0,-547,0,0,-875,0,0,0,20300,51,0,2392,26,0,5008,24,1
1815,0.353004456,0,9,0,0,-547,0,0,-875,0,0,0,20300,51,0,2392,26,0,5008,24,1
1816,0.400001526,0,9,0,0,-547,0,0,-875,0,0,0,20300,51,0,2392,26,0,5008,24,1
1817,0.455001831,0,9,0,0,-547,0,0,-875,0,0,70,19400,50,0,5504,26,0,5008,24,1
1818,0.557998657,0,9,0,0,-547,0,0,-875,0,0,70,19400,50,0,5504,26,0,5008,24,1
1819,0.613998413,0,9,0,0,-547,0,0,-875,0,0,70,19400,50,0,5504,26,0,5008,24,1
1820,0.660003662,0,9,0,0,-547,0,0,-875,0,0,139,21216,50,0,5972,26,0,3434,24,1
1821,0.715003967,0,9,0,0,-547,0,0,-875,0,0,139,21216,50,0,5972,26,0,3434,24,1
1822,0.814002991,0,9,0,0,-547,0,0,-875,0,0,139,21216,50,0,5972,26,0,3434,24,1
1823,0.870002747,0,9,0,0,-547,0,0,-875,0,0,209,18950,49,0,3472,24,0,3848,23,1
1824,0.914001465,0,9,0,0,-547,0,0,-875,0,0,209,18950,49,0,3472,24,0,3848,23,1
1825,0.970001221,0,9,0,0,-547,0,0,-875,0,0,209,18950,49,0,3472,24,0,3848,23,1
1826,1.013999939,0,9,0,0,-547,0,0,-875,0,0,209,18950,49,0,3472,24,0,3848,23,1
1827,1.128997803,0,9,0,0,-547,0,0,-875,0,0,278,21600,54,0,6492,26,0,3848,23,1
1828,1.174003601,0,9,0,0,-547,0,0,-875,0,0,278,21600,54,0,6492,26,0,3848,23,1
1829,1.230003357,0,9,0,0,-547,0,0,-875,0,0,278,21600,54,0,6492,26,0,3848,23,0
1830,1.274002075,0,9,0,0,-547,0,0,0,564,8,348,20592,52,0,6726,26,0,5440,23,1
1831,1.32900238,0,9,0,0,-547,0,0,0,564,8,348,20592,52,0,6726,26,0,5440,23,1
1832,1.433998108,0,9,0,0,-547,0,0,0,564,8,348,20592,52,0,6726,26,0,5440,23,0
1833,1.489997864,0,9,0,0,-547,0,0,56,14900,49,419,17888,51,0,8234,26,0,5440,23,1
1834,1.544998169,0,9,0,0,-547,0,0,56,14900,49,419,17888,51,0,8234,26,0,5440,23,1
1835,1.589004517,0,9,0,0,-547,0,0,56,14900,49,419,17888,51,0,8234,26,0,5440,23,1
1836,1.644004822,0,9,0,0,-547,0,0,56,14900,49,419,17888,51,0,8234,26,0,5440,23,1
1837,1.698997498,0,9,0,0,-547,0,0,56,14900,49,419,17888,51,0,8234,26,0,5440,23,1
1838,1.804000854,0,9,0,0,-547,0,0,126,15850,49,488,16750,49,0,12349,27,0,5440,24,1
1839,1.848999023,0,9,0,0,-547,0,0,126,15850,49,488,16750,49,0,12349,27,0,5440,24,1
1840,1.908004761,0,9,0,0,-547,0,0,126,15850,49,488,16750,49,0,12349,27,0,5440,24,1
1841,1.952003479,0,9,0,0,-547,0,0,126,15850,49,488,16750,49,0,12349,27,0,5440,24,1
1842,2.007003784,0,9,0,0,-547,0,0,195,16027,47,557,11603,41,0,14293,27,0,5440,24,1
1843,2.106002808,0,9,0,0,-547,0,0,195,16027,47,557,11603,41,0,14293,27,0,5440,24,1
1844,2.161003113,0,9,0,0,-547,0,0,195,16027,47,557,11603,41,0,14293,27,0,5440,24,1
1845,2.207000732,0,9,0,0,-547,0,0,265,16591,47,574,164,2,0,16075,27,0,3848,24,1
1846,2.258003235,0,9,0,0,-547,0,0,265,16591,47,574,164,2,0,16075,27,0,3848,24,1
1847,2.372001648,0,9,0,0,-547,0,0,265,16591,47,574,164,2,0,16075,27,0,3848,24,1
1848,2.417999268,0,9,0,0,-547,0,1,363,12725,97,574,130,1,-13,28010,77,-14,16685,75,1
1849,2.472999573,0,9,0,0,-547,0,1,363,12725,97,574,130,1,-13,28010,77,-14,16685,75,1
1850,2.527999878,0,9,0,0,-547,0,1,363,12725,97,574,130,1,-13,28010,77,-14,16685,75,1
1851,2.585998535,0,9,0,0,-547,0,1,363,12725,97,574,130,1,-13,28010,77,-14,16685,75,0
1852,2.634002686,0,9,0,0,-547,0,1,363,12725,97,574,130,1,-13,28010,77,-14,16685,75,1
1853,2.706001282,0,9,0,0,-547,0,0,502,14888,93,574,45,1,-86,27216,149,-88,4971,142,1
1854,2.750999451,0,9,0,0,-547,0,0,502,14888,93,574,45,1,-86,27216,149,-88,4971,142,1
1855,2.854003906,0,9,0,0,0,0,0,639,14374,94,574,31,1,-219,21520,211,-221,30398,218,1
1856,2.909004211,0,9,0,0,0,0,0,639,14374,94,574,31,1,-219,21520,211,-221,30398,218,1
1857,2.95400238,0,9,0,0,0,0,0,639,14374,94,574,31,1,-219,21520,211,-221,30398,218,1
1858,3.011001587,0,9,0,0,0,0,0,639,14374,94,574,31,1,-219,21520,211,-221,30398,218,1
1859,3.069000244,0,9,0,0,69,27281,101,760,7260,44,574,0,0,-415,1633,262,-419,29508,277,1
1860,3.1720047,0,9,0,0,69,27281,101,760,7260,44,574,0,0,-415,1633,262,-419,29508,277,1
1861,3.226997375,0,9,0,0,69,27281,101,760,7260,44,574,0,0,-415,1633,262,-419,29508,277,1
1862,3.271003723,0,9,0,0,69,27281,101,760,7260,44,574,0,0,-415,1633,262,-419,29508,277,1
1863,3.326004028,0,9,0,0,210,11318,95,784,0,0,574,0,0,-613,25644,208,-615,16934,200,0
1864,3.372001648,0,9,0,0,210,11318,95,784,0,0,574,0,0,-613,25644,208,-615,16934,200,1
1865,3.474998474,0,9,0,0,210,11318,95,784,0,0,574,0,0,-613,25644,208,-615,16934,200,0
1866,3.531997681,0,9,0,0,350,17408,97,784,0,0,574,0,0,-748,15052,131,-750,27796,139,1
1867,3.586997986,0,9,0,0,350,17408,97,784,0,0,574,0,0,-748,15052,131,-750,27796,139,1
1868,3.642997742,0,9,0,0,350,17408,97,784,0,0,574,0,0,-748,15052,131,-750,27796,139,0
1869,3.687004089,0,9,0,0,490,9352,93,784,0,0,574,0,0,-820,29656,69,-820,8998,72,1
1870,3.79800415,0,9,0,0,490,9352,93,784,0,0,574,0,0,-820,29656,69,-820,8998,72,1
1871,3.858001709,0,9,0,0,490,9352,93,784,0,0,574,0,0,-820,29656,69,-820,8998,72,1
1872,3.904998779,0,9,0,0,490,9352,93,784,0,0,574,0,0,-820,29656,69,-820,8998,72,1
1873,3.948997498,0,0,0,0,633,10932,94,784,0,0,574,0,0,-833,13321,27,-833,23637,29,1
1874,4.003997803,0,0,0,0,633,10932,94,784,0,0,574,0,0,-833,13321,27,-833,23637,29,0
1875,4.103004456,0,0,0,0,633,10932,94,784,0,0,574,0,0,-833,13321,27,-833,23637,29,1
1876,4.161003113,0,0,0,0,633,10932,94,784,0,0,574,0,0,-833,13321,27,-833,23637,29,1
1877,4.208000183,0,19,14391,41,771,15685,93,784,0,0,574,0,0,-833,9430,26,-833,28798,29,1
1878,4.263000488,0,19,14391,41,771,15685,93,784,0,0,574,0,0,-833,9430,26,-833,28798,29,1
1879,4.365997314,0,19,14391,41,771,15685,93,784,0,0,574,0,0,-833,9430,26,-833,28798,29,1
1880,4.411003113,0,87,15435,50,899,16302,56,784,0,0,574,0,0,-833,4024,26,-833,21723,31,1
1881,4.46900177,0,87,15435,50,899,16302,56,784,0,0,574,0,0,-833,4024,26,-833,21723,31,0
1882,4.513999939,0,87,15435,50,899,16302,56,784,0,0,574,0,0,-833,4024,26,-833,21723,31,0
1883,4.576004028,0,156,19329,51,934,98,0,784,0,0,574,0,0,-833,2872,24,-833,11836,26,0
1884,4.678001404,0,156,19329,51,934,98,0,784,0,0,574,0,0,-833,2872,24,-833,11836,26,1
1885,4.722000122,0,156,19329,51,934,98,0,784,0,0,574,0,0,-833,2872,24,-833,11836,26,1
1886,4.777999878,0,156,19329,51,934,98,0,784,0,0,574,0,0,-833,2872,24,-833,11836,26,1
1887,4.833999634,0,156,19329,51,934,98,0,784,0,0,574,0,0,-833,2872,24,-833,11836,26,1
1888,4.877998352,0,225,22848,52,934,0,0,784,0,0,574,0,0,-833,5530,26,-833,5842,26,1
1889,4.988998413,0,225,22848,52,934,0,0,784,0,0,574,0,0,-833,5530,26,-833,5842,26,1
1890,5.033004761,0,225,22848,52,934,0,0,784,0,0,574,0,0,-833,5530,26,-833,5842,26,1
1891,5.093002319,0,296,22593,51,934,0,0,784,0,0,574,0,0,-833,3064,24,-833,6778,24,0
1892,5.148002625,0,296,22593,51,934,0,0,784,0,0,574,0,0,-833,3064,24,-833,6778,24,1
1893,5.193000793,0,296,22593,51,934,0,0,784,0,0,574,0,0,-833,3064,24,-833,6778,24,0
1894,5.294998169,0,296,22593,51,934,0,0,784,0,0,574,0,0,-833,3064,24,-833,6778,24,1
1895,5.343002319,0,362,19000,50,934,0,0,784,0,0,574,0,0,-833,3544,24,-833,7584,26,1
1896,5.400001526,0,362,19000,50,934,0,0,784,0,0,574,0,0,-833,3544,24,-833,7584,26,1
1897,5.456001282,0,362,19000,50,934,0,0,784,0,0,574,0,0,-833,3544,24,-833,7584,26,1
1898,5.502998352,0,362,19000,50,934,0,0,784,0,0,574,0,0,-833,3544,24,-833,7584,26,0
1899,5.605003357,0,431,12090,39,934,0,0,784,0,0,574,0,0,-833,6830,26,-833,10162,26,0
1900,5.661003113,0,431,12090,39,934,0,0,784,0,0,574,0,0,-833,6830,26,-833,10162,26,1
1901,5.722999573,0,431,12090,39,934,0,0,784,0,0,574,0,0,-833,6830,26,-833,10162,26,1
1902,5.771003723,0,481,6873,28,934,0,0,784,0,0,574,0,0,-833,4336,26,-833,9378,26,1
1903,5.826004028,0,481,6873,28,934,0,0,784,0,0,574,0,0,-833,4336,26,-833,9378,26,1
1904,5.927001953,0,481,6873,28,934,0,0,784,0,0,574,0,0,-833,4336,26,-833,9378,26,1
1905,5.982002258,0,481,15210,39,934,0,0,784,0,0,574,0,0,-833,7714,26,-833,12025,26,1
1906,6.027000427,0,481.0125848,15210,39,934,0,0,784,0,0,574,0,0,-833,7714,26,-833,12025,26,0
1907,6.083000183,1,481.0282463,15210,39,934,0,0,784,0,0,574,0,0,-833,7714,26,-833,12025,26,1
1908,6.138000488,1,481.0436284,15210,39,934,0,0,784,0,0,574,0,0,-833,7714,26,-833,12025,26,1
1909,6.193000793,1,481.0590105,20090,49,934,0,0,784,0,0,574,0,0,-833,5080,24,-833,12349,27,0
1910,6.294998169,1,481.0875364,20090,49,934,0,0,784,0,0,574,0,0,-833,5080,24,-833,12349,27,1
1911,6.351997375,1,481.1034775,20090,49,934,0,0,784,0,0,574,0,0,-833,5080,24,-833,12349,27,1
1912,6.409004211,1,481.1194207,19400,50,934,0,0,784,0,0,574,0,0,-833,8520,26,-833,12862,27,1
1913,6.45400238,1,481.1320055,19400,50,934,0,0,784,0,0,574,0,0,-833,8520,26,-833,12862,27,0
1914,6.512001038,1,481.1482261,19400,50,934,0,0,784,0,0,574,0,0,-833,8520,26,-833,12862,27,1
1915,6.614997864,1,481.1770315,19400,50,934,0,0,784,0,0,574,0,0,-833,8520,26,-833,12862,27,1
1916,6.659004211,1,481.1893389,18424,49,934,0,0,784,0,0,574,0,0,-833,8780,26,-833,13213,27,1
1917,6.717002869,1,481.2055595,18424,49,934,0,0,784,0,0,574,0,0,-833,8780,26,-833,13213,27,1
1918,6.772003174,1,481.2209416,18424,49,934,0,0,784,0,0,574,0,0,-833,8780,26,-833,13213,27,1
1919,6.817001343,1,481.2335263,18424,49,934,0,0,784,0,0,574,0,0,-833,8780,26,-833,13213,27,1
1920,6.92099762,1,481.2626112,17983,49,934,0,0,784,0,0,574,0,0,-833,9092,26,-833,17199,27,1
1921,0,0,7,0,0,-547,61,1,-872,70,2,-26,4554,31,0,2392,26,0,5008,23,1
1922,0.055000305,0,7,0,0,-547,61,1,-872,70,2,-26,4554,31,0,2392,26,0,5008,23,1
1923,0.098999023,0,7,0,0,-547,61,1,-872,70,2,-26,4554,31,0,2392,26,0,5008,23,0
1924,0.153999329,0,7,0,0,-547,61,1,-872,70,2,-26,4554,31,0,2392,26,0,5008,23,1
1925,0.254997253,0,7,0,0,-547,61,1,-872,70,2,-26,4554,31,0,2392,26,0,5008,23,1
1926,0.298995972,0,7,0,0,-547,63,1,-872,23,1,8,14805,47,0,5504,24,0,5008,24,1
1927,0.353996277,0,7,0,0,-547,63,1,-872,23,1,8,14805,47,0,5504,24,0,5008,24,1
1928,0.415000916,0,7,0,0,-547,63,1,-872,23,1,8,14805,47,0,5504,24,0,5008,24,1
1929,0.458999634,0,7,0,0,-547,63,1,-872,23,1,8,14805,47,0,5504,24,0,5008,24,1
1930,0.573997498,0,7,0,0,-547,63,1,-872,18,1,79,20436,52,0,2992,26,0,3434,24,1
1931,0.619003296,0,7,0,0,-547,63,1,-872,18,1,79,20436,52,0,2992,26,0,3434,24,1
1932,0.673995972,0,7,0,0,-547,63,1,-872,18,1,79,20436,52,0,2992,26,0,3434,24,1
1933,0.720001221,0,7,0,0,-547,68,1,-872,12,0,147,19839,51,0,5972,24,0,5008,24,1
1934,0.822998047,0,7,0,0,-547,68,1,-872,12,0,147,19839,51,0,5972,24,0,5008,24,0
1935,0.878997803,0,7,0,0,-547,68,1,-872,12,0,147,19839,51,0,5972,24,0,5008,24,1
1936,0.922996521,0,7,0,0,-547,70,1,-872,12,1,213,18753,49,0,6492,26,0,5008,24,1
1937,0.978996277,0,7,0,0,-547,70,1,-872,12,1,213,18753,49,0,6492,26,0,5008,24,1
1938,1.033996582,0,7,0,0,-547,70,1,-872,12,1,213,18753,49,0,6492,26,0,5008,24,1
1939,1.136001587,0,7,0,0,-547,74,1,-872,12,1,283,17542,49,0,6726,24,0,3434,24,0
1940,1.180000305,0,7,0,0,-547,74,1,-872,12,1,283,17542,49,0,6726,24,0,3434,24,1
1941,1.23500061,0,7,0,0,-547,74,1,-872,12,1,283,17542,49,0,6726,24,0,3434,24,1
1942,1.293998718,0,7,0,0,-547,68,1,2,6302,23,351,23706,54,0,6986,26,0,5008,24,1
1943,1.347999573,0,7,0,0,-547,68,1,2,6302,23,351,23706,54,0,6986,26,0,5008,24,1
1944,1.456001282,0,7,0,0,-547,68,1,2,6302,23,351,23706,54,0,6986,26,0,5008,24,0
1945,1.503997803,0,7,0,0,-547,68,1,2,6302,23,351,23706,54,0,6986,26,0,5008,24,1
1946,1.548995972,0,7,0,0,-547,73,1,67,16150,50,422,16500,49,0,8962,27,0,5440,23,1
1947,1.603996277,0,7,0,0,-547,73,1,67,16150,50,422,16500,49,0,8962,27,0,5440,23,1
1948,1.658996582,0,7,0,0,-547,73,1,67,16150,50,422,16500,49,0,8962,27,0,5440,23,1
1949,1.70300293,0,7,0,0,-547,73,1,67,16150,50,422,16500,49,0,8962,27,0,5440,23,0
1950,1.802001953,0,7,0,0,-547,73,1,67,16150,50,422,16500,49,0,8962,27,0,5440,23,1
1951,1.86000061,0,7,0,0,-547,79,1,135,17000,50,490,20298,51,0,12511,26,0,5440,23,1
1952,1.917999268,0,7,0,0,-547,79,1,135,17000,50,490,20298,51,0,12511,26,0,5440,23,1
1953,1.972999573,0,7,0,0,-547,79,1,135,17000,50,490,20298,51,0,12511,26,0,5440,23,0
1954,2.017997742,0,7,0,0,-547,74,1,204,20150,50,557,4620,27,0,14698,27,0,8156,24,0
1955,2.128997803,0,7,0,0,-547,74,1,204,20150,50,557,4620,27,0,14698,27,0,8156,24,1
1956,2.172996521,0,7,0,0,-547,74,1,204,20150,50,557,4620,27,0,14698,27,0,8156,24,0
1957,2.228996277,0,7,0,0,-547,74,1,274,17150,49,565,92,1,0,16507,29,0,8156,26,0
1958,2.277999878,0,7,0,0,-547,74,1,274,17150,49,565,92,1,0,16507,29,0,8156,26,1
1959,2.333000183,0,7,0,0,-547,74,1,274,17150,49,565,92,1,0,16507,29,0,8156,26,1
1960,2.431999207,0,7,0,0,-547,79,1,383,2422,90,565,87,1,-20,17224,90,-21,1114,92,0
1961,2.476997375,0,7,0,0,-547,79,1,383,2422,90,565,87,1,-20,17224,90,-21,1114,92,1
1962,2.531997681,0,7,0,0,-547,79,1,383,2422,90,565,87,1,-20,17224,90,-21,1114,92,1
1963,2.575996399,0,7,0,0,-547,79,1,383,2422,90,565,87,1,-20,17224,90,-21,1114,92,1
1964,2.680000305,0,7,0,0,-547,82,1,521,7912,89,565,73,1,-102,21760,154,-103,21432,152,0
1965,2.736000061,0,7,0,0,-547,82,1,521,7912,89,565,73,1,-102,21760,154,-103,21432,152,1
1966,2.781997681,0,7,0,0,-547,82,1,521,7912,89,565,73,1,-102,21760,154,-103,21432,152,0
1967,2.836997986,0,7,0,0,-547,82,1,521,7912,89,565,73,1,-102,21760,154,-103,21432,152,1
1968,2.935997009,0,7,0,0,0,135,4,660,6128,89,565,47,0,-246,16328,221,-248,26966,226,1
1969,2.980003357,0,7,0,0,0,135,4,660,6128,89,565,47,0,-246,16328,221,-248,26966,226,1
1970,3.038002014,0,7,0,0,0,135,4,660,6128,89,565,47,0,-246,16328,221,-248,26966,226,1
1971,3.082000732,0,7,0,0,92,18290,97,766,6105,34,565,0,0,-450,13997,259,-452,14144,259,1
1972,3.138999939,0,7,0,0,92,18290,97,766,6105,34,565,0,0,-450,13997,259,-452,14144,259,1
